,CONDITION_CONCEPT_ID,CONDITION_CONCEPT_NAME,FREQ
1505,439150,Hypersomnia with sleep apnea,955
1506,436246,Reduced libido,955
1507,439981,Wound dehiscence,954
1508,4184423,Scoliosis of lumbar spine,954
1509,77644,Adhesive capsulitis of shoulder,953
1510,439080,Dyspareunia,951
1511,196433,Aneurysm of iliac artery,950
1512,312336,Arterial aneurysm,948
1513,434494,Closed fracture of upper end of humerus,948
1514,75311,Fibrosclerosis of breast,948
1515,432791,Angioedema,947
1516,4141190,Malfunction of gastrostomy tube,946
1517,435742,Disease due to Gram-negative bacteria,943
1518,320342,Secondary malignant neoplasm of lymph nodes of multiple sites,943
1519,443785,Calculus of gallbladder with cholecystitis,943
1520,4149353,"Attention deficit hyperactivity disorder, predominantly inattentive type",942
1521,44783029,Injury of hip and thigh,942
1522,380702,Cerebral cyst,940
1523,79061,Slow transit constipation,940
1524,4009890,Pain in upper limb,939
1525,317376,Tachypnea,936
1526,315361,Orthopnea,934
1527,72737,Microcalcifications of the breast,932
1528,441536,Mixed acid-base balance disorder,932
1529,439658,Disorder of pregnancy,931
1530,434293,Primary malignant neoplasm of body of pancreas,930
1531,436640,Primary malignant neoplasm of long bone of lower limb,930
1532,764597,Lump in upper outer quadrant of right breast,930
1533,4083964,Soft tissue injury,929
1534,40483134,Strain of muscle and/or tendon of thigh,928
1535,378416,Retinal disorder,928
1536,4153359,Arthritis of spine,928
1537,198371,Secondary malignant neoplasm of small intestine,924
1538,43021779,Hearing loss of left ear,922
1539,4147411,Follicular non-Hodgkin's lymphoma,921
1540,433128,Complication,919
1541,439215,Traumatic injury due to event,918
1542,4345578,Rhabdomyolysis,918
1543,37117095,Benign neoplasm of left adrenal gland,917
1544,764594,Lump in upper outer quadrant of left breast,916
1545,440021,Herpes simplex without complication,916
1546,4275359,Mental alertness - finding,914
1547,44782762,Acute thrombosis of subclavian vein,911
1548,437169,Disorder of transplanted bone marrow,911
1549,443582,Arthropathy of joint of hand,911
1550,4242574,Intertrigo,909
1551,441534,"Severe major depression, single episode, without psychotic features",909
1552,77081,Tibialis tendinitis,908
1553,193138,Primary malignant neoplasm of lower third of esophagus,907
1554,4298809,Nephritic syndrome,906
1555,195769,Submucous leiomyoma of uterus,906
1556,312723,Congenital heart disease,906
1557,40482801,Type II diabetes mellitus uncontrolled,905
1558,436042,Primary malignant neoplasm of anterior two-thirds of tongue,905
1559,433976,Primary malignant neoplasm of temporal lobe,904
1560,36683375,Non-healing surgical wound,902
1561,44782744,Acute deep venous thrombosis of tibial vein,902
1562,376966,Exudative age-related macular degeneration,899
1563,40481531,Sequela of chronic liver disease,899
1564,80045,Primary malignant neoplasm of anus,898
1565,73300,Radial styloid tenosynovitis,896
1566,258780,Emphysematous bronchitis,894
1567,4030186,Hyperprolactinemia,894
1568,443744,Bunion,894
1569,379756,Primary malignant neoplasm of mandible,893
1570,200461,Endometriosis of uterus,893
1571,25518,Sickle cell trait,892
1572,45767695,Metastatic carcinoid tumor,892
1573,4160276,Malignant neoplasm of genital structure,892
1574,4058397,Claustrophobia,892
1575,4237062,Mural thrombus of heart,891
1576,76786,Derangement of knee,891
1577,73574,Nonunion of fracture,890
1578,432838,Primary malignant neoplasm of cardia of stomach,886
1579,40481325,Strain of muscle and/or tendon of lower leg,884
1580,4149851,Malignant melanoma of upper limb,883
1581,4079687,Tumor lysis syndrome,882
1582,4210005,Spinal dislocation with thoracic cord lesion,881
1583,440700,Communicating hydrocephalus,879
1584,4312685,Primary malignant neoplasm of skin of lower limb,879
1585,442105,Benign neoplasm of soft tissue,877
1586,36716978,Acute on chronic hypercapnic respiratory failure,877
1587,196158,Disorder of penis,877
1588,256646,"Primary malignant neoplasm of middle lobe, bronchus or lung",877
1589,141249,Benign neoplasm of thyroid gland,875
1590,4113650,Noninflammatory cervical disorder,874
1591,45768964,Uncomplicated moderate persistent asthma,874
1592,134452,Olecranon bursitis,874
1593,434622,Deficiency anemias,874
1594,37396146,Gastrointestinal infection,873
1595,133280,Alopecia,873
1596,444375,"Contact dermatitis due to plants, except food",872
1597,438094,Primary malignant neoplasm of soft tissues of lower limb,872
1598,316999,Conduction disorder of the heart,871
1599,43530687,Dysarthria as late effects of cerebrovascular disease,871
1600,37016348,Hyperglycemia due to type 1 diabetes mellitus,871
1601,4218813,Third trimester pregnancy,868
1602,4311591,Cramp in limb,867
1603,40489910,Sepsis due to Streptococcus group D,866
1604,196569,Contusion of abdominal wall,865
1605,43021778,Hearing loss of right ear,864
1606,433143,Primary malignant neoplasm of appendix,864
1607,4165417,Complex partial seizure with impairment of consciousness,864
1608,4017107,Traumatic subdural hemorrhage,861
1609,4119146,Tear of lateral meniscus of knee,856
1610,4266188,Disorder of body wall,856
1611,45757639,Mammographic microcalcification of breast,848
1612,198202,Cystocele,847
1613,4093531,Absence of toe,847
1614,435933,Closed fracture of lumbar vertebra without spinal cord injury,846
1615,45763750,Idiopathic pulmonary fibrosis,846
1616,4031019,Allergic contact dermatitis,844
1617,432798,"Mechanical complication of internal orthopedic device, implant AND/OR graft",842
1618,436920,Reticulosarcoma,842
1619,4096099,Phlebitis of deep veins of lower extremity,840
1620,312337,Arterial embolus and thrombosis,839
1621,80269,Mechanical complication of internal joint prosthesis,839
1622,4141640,Perimenopausal disorder,839
1623,4347307,Prolapsed thoracic intervertebral disc,839
1624,135204,Mycosis fungoides of extranodal AND/OR solid organ site,838
1625,316084,Lymphadenitis,837
1626,440129,Hypertrophy of nasal turbinates,837
1627,4049623,"Moderate major depression, single episode",835
1628,4068622,Cervical disc disorder with myelopathy,834
1629,438178,Postmastectomy lymphedema syndrome,834
1630,4208390,Inflammation of sacroiliac joint,833
1631,4177851,Disorder of hip joint,832
1632,72986,Disorder of lower leg,831
1633,314378,Hypertensive heart disease with congestive heart failure,831
1634,432303,Cocaine abuse,827
1635,137350,Radiation dermatitis,827
1636,76388,Post-thoracotomy pain syndrome,826
1637,435784,Somatoform disorder,824
1638,4166902,Scalp laceration,824
1639,435875,"Complication of pregnancy, childbirth and/or the puerperium",823
1640,201621,Chronic cystitis,823
1641,24966,Esophageal varices,823
1642,196726,Gallbladder calculus with acute cholecystitis and no obstruction,821
1643,200349,Malignant lymphoma of intra-abdominal lymph nodes,819
1644,4281826,Lymphocytosis,818
1645,444093,Patient status finding,818
1646,76725,Anal fissure,817
1647,436948,Benign neoplasm of choroid,816
1648,72407,Effusion of joint of shoulder region,815
1649,440303,Postoperative seroma,815
1650,437832,Malnutrition of mild degree,814
1651,4308861,Mechanical complication of arteriovenous surgical fistula,814
1652,44783027,Injury of face and neck,814
1653,379832,Mixed conductive AND sensorineural hearing loss,813
1654,73231,Arthralgia of temporomandibular joint,812
1655,438721,Disorder of mineral metabolism,811
1656,74719,Ulcer of foot,810
1657,4141028,Cervical disc disorder,810
1658,40487059,Sepsis due to Staphylococcus,810
1659,200445,Chronic prostatitis,809
1660,36714994,Typical atrial flutter,809
1661,255348,Polymyalgia rheumatica,808
1662,433716,Primary malignant neoplasm of testis,805
1663,40482859,Malignant carcinoid tumor,805
1664,440814,Torticollis,804
1665,4230641,Chronic pansinusitis,803
1666,443216,Graft versus host disease,802
1667,441553,Myoclonus,802
1668,4127554,Failed renal transplant,802
1669,4151263,Malignant melanoma of lower limb,801
1670,137345,Pressure ulcer stage 4,799
1671,134118,Atrophic condition of skin,799
1672,440233,Strain of supraspinatus muscle AND/OR tendon,798
1673,40482727,Combined systolic and diastolic dysfunction,798
1674,434822,Complication of internal prosthetic device,797
1675,200616,Complication of transplanted liver,795
1676,4029488,Hepatic encephalopathy,794
1677,4300243,Postoperative complication,791
1678,376106,Disorder of the central nervous system,790
1679,4050884,Pleural plaque,790
1680,434842,"Accidental poisoning by drugs, medicines and biologicals",790
1681,435752,Primary malignant neoplasm of duodenum,790
1682,40489908,Sepsis due to Streptococcus,789
1683,443615,Refractory migraine,787
1684,432595,Amyloidosis,787
1685,434614,Disorder of iron metabolism,786
1686,36713126,Blepharitis of left eyelid,786
1687,4046448,Cerebrospinal fluid leak,785
1688,40486896,Primary malignant neoplasm of extrahepatic bile duct,785
1689,4246802,Primary malignant neoplasm of bone of skull,784
1690,4320635,"Hemorrhage due to any device, implant AND/OR graft",784
1691,4239381,Psychoactive substance abuse,784
1692,197318,Cholesterolosis of gallbladder,783
1693,4147660,Postural kyphosis,783
1694,4055361,Generalized epilepsy,782
1695,439620,Late effect of accidental injury,781
1696,433758,Childhood emotional disorder,780
1697,45757435,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,780
1698,4268895,Female pelvic peritoneal adhesions,780
1699,433405,Proteus infection,779
1700,443465,Dysphagia as a late effect of cerebrovascular accident,779
1701,436681,Insomnia disorder related to known organic factor,777
1702,194690,Nontraumatic hemoperitoneum,776
1703,79873,Urolith,776
1704,435569,Disorder of jaw,775
1705,4334801,Surgical site infection,775
1706,4058388,Hypertrophic scar,774
1707,312950,IgE-mediated allergic asthma,774
1708,78227,Degenerative joint disease of hand,773
1709,36715574,Hypoparathyroidism following procedure,770
1710,317895,Renovascular hypertension,770
1711,133714,Malignant melanoma of skin of trunk,770
1712,201093,Infection of skin and/or subcutaneous tissue,769
1713,312902,Benign intracranial hypertension,768
1714,4317977,Bilateral cataracts,766
1715,78272,Sprain of wrist,766
1716,4234480,Arteriovenous fistula,765
1717,432312,Chronic angle-closure glaucoma,764
1718,315276,Vitreous hemorrhage,763
1719,436075,Adjustment disorder with anxious mood,763
1720,201069,"Peptic ulcer without hemorrhage, without perforation AND without obstruction",763
1721,258375,Overlapping malignant neoplasm of bronchus and lung,761
1722,314965,Embolism and thrombosis of an arm or leg artery,760
1723,40484648,Type 1 diabetes mellitus uncontrolled,760
1724,136834,Closed intertrochanteric fracture,758
1725,438252,Spontaneous ecchymosis,758
1726,4173780,Iliotibial band friction syndrome,758
1727,40484571,Disorder of joint of shoulder region,758
1728,135858,Disorder of lip,757
1729,40481302,Injury of superior glenoid labrum of shoulder joint,754
1730,440897,Motor vehicle accident victim,753
1731,4194894,Muscle and tendon injury,753
1732,4266029,Airway trauma,753
1733,4111998,Esophageal varices associated with another disorder,752
1734,199856,Varicose veins of lower extremity with inflammation,752
1735,4031763,Melanocytic nevus of lower limb,752
1736,441641,Delivery normal,750
1737,319826,Secondary hypertension,749
1738,44782549,Disorder of vertebral column,749
1739,378256,Abnormal reflex,748
1740,136917,Primary malignant neoplasm of skin of face,748
1741,432596,Immune defect,747
1742,442287,Rest pain,746
1743,4035611,Seropositive rheumatoid arthritis,746
1744,4166144,Abnormal level of blood mineral,746
1745,26378,Hyperpituitarism,744
1746,30968,Diabetes insipidus,744
1747,377290,Legal blindness USA,743
1748,4092896,Feces contents abnormal,743
1749,46269907,Intestinal hemorrhage with diverticulosis,743
1750,76565,Contusion of shoulder region,742
1751,24818,Injury of neck,742
1752,4114624,Coordination problem,741
1753,132932,Chronic ethmoidal sinusitis,741
1754,4179873,Degenerative disorder,740
1755,40481632,Ganglion cyst,740
1756,261514,Primary malignant neoplasm of supraglottis,737
1757,46269921,Oral ulcerative mucositis due to antineoplastic therapy,736
1758,133713,Malignant melanoma of skin of face,735
1759,4134603,Vascular disorder of intestine,734
1760,193460,Disorder of lower extremity,734
1761,195851,"Gastric ulcer without hemorrhage, without perforation AND without obstruction",733
1762,4062387,Injury of muscle and tendon at thorax level,733
1763,4220238,Multiple congenital cysts of kidney,733
1764,4216139,Plasmacytoma,733
1765,196473,Hypertrophy of uterus,732
1766,377861,Disorder of refraction AND/OR accommodation,732
1767,437828,Disorder of calcium metabolism,731
1768,444191,Injury of face,731
1769,4222001,Collapse of vertebra,731
1770,134116,Dermatitis due to drug AND/OR medicine taken internally,729
1771,4160328,Tinea cruris,729
1772,4243587,Benign neoplasm of skin of upper limb,729
1773,200763,Chronic hepatitis,728
1774,434311,Disorder of the urea cycle metabolism,728
1775,436658,Vitamin deficiency,727
1776,438749,Posterior subcapsular polar senile cataract,727
1777,73562,Solitary sacroiliitis,726
1778,4055231,Accidental laceration during a procedure,725
1779,201909,Female infertility,725
1780,4065364,Follicular cysts of skin and subcutaneous tissue,724
1781,437176,Late effect of accidental fall,723
1782,438430,Squamous blepharitis,722
1783,4250169,Bifascicular block,721
1784,194696,Dysmenorrhea,721
1785,377286,Visual field defect,720
1786,434887,Disorders of bilirubin excretion,720
1787,376115,Cystoid macular retinal degeneration,719
1788,442068,Cellulitis and abscess of forearm,719
1789,4154168,Pelvic injury,719
1790,137829,Aplastic anemia,719
1791,432869,Hemorrhagic disorder due to circulating anticoagulants,718
1792,4194891,Spinal dislocation with lumbar cord lesion,718
1793,432883,"Recurrent major depressive episodes, moderate",718
1794,72578,Neoplasm of uncertain behavior of breast,716
1795,4048489,Recurrent acute sinusitis,716
1796,4170137,Non-suppurative otitis media,716
1797,73560,Calcaneal spur,715
1798,4301699,Neuropathy,715
1799,195864,Diverticulum of bladder,715
1800,4055201,Angiodysplasia of colon,714
1801,314659,Arteritis,713
1802,4134455,Mononeuropathy,712
1803,4270932,Pain in testicle,712
1804,4112334,Idiopathic hypotension,711
1805,193522,Acute prostatitis,710
1806,318174,Phlebitis,709
1807,4055481,Acute pulmonary insufficiency following thoracic surgery,709
1808,4131791,Hydrocele of testis,709
1809,37018293,Inflammatory disorder of jaw region,708
1810,28060,Streptococcal sore throat,707
1811,320116,Acute pericarditis,706
1812,4211657,Closed fracture of lower leg,704
1813,45763578,Congenital single renal cyst,703
1814,4332304,Status epilepticus,703
1815,321822,Peripheral vascular disorder due to diabetes mellitus,703
1816,321107,Congenital insufficiency of aortic valve,703
1817,4151978,Post-herpetic neuritis,702
1818,201070,Cholelithiasis AND cholecystitis without obstruction,702
1819,4304484,Chronic myeloproliferative disorder,701
1820,197799,Primary malignant neoplasm of the peritoneum,701
1821,4157457,Malignant neoplasm of skin of trunk,700
1822,4092538,Herpesviral vesicular dermatitis,699
1823,441594,Dysphasia,698
1824,4162860,Primary malignant neoplasm of body of uterus,698
1825,40480500,High antibody titer,698
1826,4320944,Cellulitis of toe,697
1827,192836,Primary malignant neoplasm of small intestine,696
1828,4148260,Calculus of kidney and ureter,696
1829,4297667,Basal cell carcinoma of upper extremity,696
1830,37109307,Erectile dysfunction following radical prostatectomy,696
1831,374025,Retinal hemorrhage,695
1832,762212,Bursitis of right shoulder,695
1833,4100857,Extreme obesity with alveolar hypoventilation,695
1834,4091513,Passing flatus,693
1835,433527,Endometriosis,693
1836,4082487,Cutaneous/peripheral T-cell lymphoma,692
1837,4266654,Abrasion and/or friction burn of skin,692
1838,375791,Uncomplicated senile dementia,692
1839,4144112,Adult hypertrophic pyloric stenosis,691
1840,443411,Abnormal cytology findings,690
1841,759860,Cellulitis of left upper limb,689
1842,77395,Current tear of semilunar cartilage,689
1843,4329847,Myocardial infarction,688
1844,45772786,Cerebral infarction due to embolism of middle cerebral artery,688
1845,193402,Bacterial enteritis,687
1846,43530714,Sensory disorder of smell and/or taste,686
1847,4121803,Cerebral arteriovenous malformation,686
1848,4252861,Benign neoplasm of autonomic nerve,686
1849,199764,Benign neoplasm of ovary,686
1850,46269816,Ascites due to alcoholic cirrhosis,685
1851,77673,Sign or symptom of the urinary system,682
1852,4176892,Cortical hemorrhage,682
1853,321689,Apnea,682
1854,437969,Talipes planus,682
1855,77076,Diastasis of muscle,681
1856,139841,Chronic frontal sinusitis,680
1857,201894,Acute vascular insufficiency of intestine,680
1858,4115027,Squamous cell carcinoma of skin of upper lip,680
1859,4149782,Thrombosis of vein of lower limb,680
1860,432347,Chronic disease of tonsils AND/OR adenoids,680
1861,4131963,Drusen stage macular degeneration,679
1862,434314,Chronic graft-versus-host disease,679
1863,375519,Alcohol withdrawal syndrome,678
1864,252348,Chronic pulmonary radiation disease,678
1865,314171,Low blood pressure reading,677
1866,4244438,Second trimester pregnancy,675
1867,40483171,Ulcer of anorectal structure,673
1868,381859,Infective otitis externa,671
1869,135496,Acute leukemia in remission,671
1870,42537741,Transplant present,670
1871,4188598,High risk pregnancy,670
1872,40443308,Polycystic ovary syndrome,670
1873,376680,Generalized non-convulsive epilepsy,669
1874,4207505,Sprain of knee,668
1875,40481762,Hemiplegia as late effect of cerebrovascular disease,668
1876,199064,Chronic vascular insufficiency of intestine,667
1877,759859,Cellulitis of right upper limb,666
1878,40481303,Aphonia,665
1879,36713170,Cervical spine sprain,665
1880,4111099,Aortic valve stenosis with insufficiency,665
1881,4100662,Cellulitis of finger,665
1882,439676,Coronavirus infection,664
1883,133853,Osteomyelitis of ankle AND/OR foot,664
1884,432933,Aneurysm of artery of lower extremity,663
1885,132344,Gingival and periodontal disease,663
1886,441800,Primary malignant neoplasm of descending colon,662
1887,201690,Renal colic,661
1888,40479707,Neoplasm of uncertain behavior of skeletal system,660
1889,198802,Occlusion of ureter,660
1890,195480,Primary malignant neoplasm of renal pelvis,659
1891,4214610,Abscess of abdominal wall,658
1892,4316083,Skin lesion,657
1893,432587,Polyclonal hypergammaglobulinemia,657
1894,75865,Disorder of the urinary system,656
1895,4119460,Infective endocarditis,656
1896,80951,Candidiasis of urogenital site,656
1897,200780,Disorder of uterus,655
1898,316535,Closed fracture of thoracic vertebra without spinal cord injury,654
1899,43021248,Complication associated with genitourinary device,654
1900,4057432,Mediastinal emphysema,653
1901,44782751,Acute deep venous thrombosis of axillary vein,653
1902,42538169,Disorder of eye due to type 1 diabetes mellitus,652
1903,36715917,Internal hemorrhoids grade II,652
1904,4312023,Secondary malignant neoplasm of intra-abdominal organs,651
1905,22350,Edema of larynx,651
1906,4025215,Emotional state finding,649
1907,4344612,Spondylolysis,649
1908,435940,Closed fracture of shaft of humerus,649
1909,193250,Gastric hemorrhage,648
1910,44782735,Chronic deep venous thrombosis of lower extremity,647
1911,4239938,First trimester pregnancy,647
1912,4055650,Acute pulmonary insufficiency following nonthoracic surgery,647
1913,140960,Secondary malignant neoplasm of female breast,646
1914,4144154,Non-traumatic intracerebral ventricular hemorrhage,646
1915,4010658,Difficulty passing urine,646
1916,439199,Open wound without complication,645
1917,4041280,Postpartum finding,645
1918,4027369,Vascular disease of abdomen,643
1919,432843,Primary malignant neoplasm of tail of pancreas,643
1920,198199,Pyelonephritis,643
1921,436700,Exophthalmos,642
1922,4337543,Hepatic necrosis,639
1923,432868,Hemoglobinopathy,638
1924,4291454,Basal cell carcinoma of nose,638
1925,45768963,Uncomplicated mild persistent asthma,638
1926,4226021,Spontaneous hemorrhage,637
1927,4013596,Closed fracture thoracic vertebra,637
1928,439937,C-reactive protein abnormal,636
1929,135750,Primary malignant neoplasm of floor of mouth,636
1930,377821,Disorder of nervous system due to type 1 diabetes mellitus,635
1931,4147638,Blind or low vision - both eyes,633
1932,4275889,Visual hallucinations,633
1933,138148,Plantar nerve lesion,632
1934,4260918,Disorder of spinal region,631
1935,258180,Pneumonia due to Gram negative bacteria,631
1936,43021283,Infection associated with vascular device,630
1937,4298028,Squamous cell carcinoma of skin of lower extremity,629
1938,4044745,Splenic infarction,629
1939,443577,Asymmetrical sensorineural hearing loss,627
1940,4126119,Toxic nephropathy,626
1941,40481901,Mantle cell lymphoma,626
1942,438086,Primary malignant neoplasm of parietal lobe,625
1943,134661,Chronic sphenoidal sinusitis,624
1944,37016191,Abdominal aortic ectasia,623
1945,195498,Benign neoplasm of kidney,623
1946,377844,Status migrainosus,622
1947,312927,Acute cor pulmonale,622
1948,133169,Myelofibrosis,621
1949,79916,Acquired hallux rigidus,620
1950,4342896,Parastomal hernia,619
1951,4236312,Complex partial epileptic seizure,619
1952,40305987,Delayed union of fracture,619
1953,4313828,Rheumatic mitral stenosis,619
1954,79119,Thoracic spondylosis with myelopathy,618
1955,76153,Low compliance bladder,617
1956,197806,Primary malignant neoplasm of gallbladder,617
1957,40489808,Disorder of both middle ear and mastoid,617
1958,4094343,Dislocations/sprains/strains,616
1959,443795,Disorder of thoracic spine,616
1960,4124693,Hypertrophic cardiomyopathy,616
1961,36714559,Disorder caused by alcohol,615
1962,441838,Personality disorder,615
1963,439040,Subdural hemorrhage,615
1964,435227,Nutritional deficiency disorder,615
1965,4211001,Chronic gastric ulcer with hemorrhage,614
1966,4033802,Granulomatous disorder of the skin and subcutaneous tissue,614
1967,444199,Iatrogenic disorder,614
1968,4132570,Hypergammaglobulinemia,613
1969,381864,Subjective tinnitus,612
1970,194079,Post-surgical malabsorption,611
1971,4342640,Displacement of esophageal antireflux device,611
1972,4214530,Kyphosis deformity of spine,611
1973,4176908,Snapping thumb syndrome,610
1974,40482236,Dehiscence of internal surgical wound,610
1975,80008,Breakage of joint prosthesis,610
1976,45763828,Squamous blepharitis of upper eyelid,610
1977,434675,Complication of gastrostomy,610
1978,4164640,Blind right eye,607
1979,40481180,Pain in forearm,606
1980,444114,Maternal AND/OR fetal condition affecting labor AND/OR delivery,605
1981,381572,Abducens nerve palsy,605
1982,4174994,Pyonephrosis,605
1983,4068617,Lumbosacral spondylosis with radiculopathy,604
1984,4153517,Radiation sickness,603
1985,253549,Disorder of connective tissue,602
1986,36676837,Arthropathy of right knee joint,602
1987,435516,Lipoprotein deficiency disorder,602
1988,138117,Benign neoplasm of spinal cord,602
1989,321462,Cardiac complication,601
1990,436581,Accidental poisoning,600
1991,139902,Allergic urticaria,600
1992,43530685,Proliferative retinopathy due to type 2 diabetes mellitus,600
1993,4323686,Bilious vomiting,599
1994,433656,Abnormal patient reaction,599
1995,4189293,Vascular disorder of lower extremity,599
1996,81931,Psoriasis with arthropathy,598
1997,4308393,Mechanical complication of gastrointestinal prosthetic device,598
1998,434502,Closed fracture of phalanx of foot,598
1999,4001298,Osteomyelitis of vertebra,598
2000,252351,Pneumonia due to Pseudomonas,598
2001,440448,Appendicitis,597
2002,199876,Prolapse of female genital organs,597
2003,4109135,Corneal scars and opacities,597
2004,762206,Adhesive capsulitis of right shoulder,597
2005,4120320,Keratoconjunctivitis sicca,595
2006,45772671,Nodular prostate without urinary obstruction,595
2007,201341,Incisional hernia with obstruction,595
2008,4022201,Injury of musculoskeletal system,594
2009,434085,Obstruction of duodenum,593
2010,4031128,Lipoma of skin and subcutaneous tissue of limb,591
2011,443545,Nonvenomous insect bite,591
2012,436253,Sprain of foot,590
2013,433000,Patellar tendonitis,590
2014,42538117,Transplanted heart present,590
2015,4001315,Lobular carcinoma in situ of breast,590
2016,436136,Dissection of thoracic aorta,589
2017,4107655,Finding relating to psychosocial functioning,589
2018,4232691,Permanent atrial fibrillation,588
2019,80482,Suppurative arthritis,588
2020,380403,External hordeolum,588
2021,140708,Myelopathy due to another disorder,588
2022,4291649,Upper gastrointestinal bleeding,588
2023,46273239,Idiopathic scoliosis of lumbar spine,588
2024,195977,Contusion of trunk,587
2025,253321,Stridor,587
2026,434881,Peripheral T-cell lymphoma,586
2027,4304798,Glasgow coma scale finding,586
2028,4308390,Mechanical complication of bile duct prosthesis,586
2029,4128369,Renal transplant rejection,585
2030,194589,Primary malignant neoplasm of biliary tract,584
2031,380097,Macular edema due to diabetes mellitus,584
2032,78832,Intervertebral disc disorder with myelopathy,583
2033,36676836,Arthropathy of left knee joint,583
2034,4196960,Varicocele,583
2035,436147,Glossitis,582
2036,73001,Myositis,582
2037,196455,Hepatorenal syndrome,582
2038,76240,Closed fracture pubis,581
2039,440577,Late effect of radiation,581
2040,380096,Proliferative retinopathy due to diabetes mellitus,581
2041,45769862,Kidney lesion,581
2042,4066819,Localized skin eruption caused by drug and medicament,581
2043,434633,Disorder of autonomic nervous system,580
2044,434467,Ostium secundum type atrial septal defect,579
2045,320739,Dissection of aorta,579
2046,436003,Persistent postoperative fistula,579
2047,4106357,Abrasion of head,579
2048,4246395,Cellulitis of abdominal wall,578
2049,74114,Cellulitis and abscess of foot excluding toe,577
2050,442182,Secondary malignant neoplasm of lymph nodes of lower limb,576
2051,40482444,Aseptic necrosis of bone of hip,575
2052,4102501,Pelvic muscular dystrophy,575
2053,4154088,Abscess of lower limb,575
2054,256723,Pneumonia and influenza,573
2055,320115,Mitral insufficiency and aortic stenosis,573
2056,432257,Primary malignant neoplasm of transverse colon,573
2057,140362,Hypoparathyroidism,571
2058,73090,Contusion of foot,571
2059,4163735,Hemochromatosis,571
2060,4099197,Toxic diffuse goiter with no crisis,571
2061,439416,Acute graft-versus-host disease,571
2062,193807,Anorectal fistula,570
2063,4242962,Benign neoplasm of small intestine,570
2064,434170,Atypical squamous cells of undetermined significance on cervical Papanicolaou smear,570
2065,4091490,Malignant neoplasm of cerebrum,570
2066,40485490,Acute postthoracotomy pain syndrome,569
2067,73923,Contusion of upper arm,569
2068,40481299,Idiopathic sleep related non-obstructive alveolar hypoventilation,569
2069,4058350,"Abrasion, knee",568
2070,4323778,Thrombosis of superficial vein of lower limb,567
2071,4086243,Pulmonary sarcoidosis,567
2072,372888,Sciatic nerve lesion,566
2073,4057826,Irritable bowel syndrome with diarrhea,566
2074,318186,Achalasia of esophagus,565
2075,4000982,Cyst of bursa,565
2076,4066824,Discoid lupus erythematosus,565
2077,442425,Lumbar post-laminectomy syndrome,564
2078,4185932,Ischemic heart disease,563
2079,374914,Tetraplegia,563
2080,4023190,Wheelchair bound,562
2081,432590,Delusional disorder,562
2082,195314,Nephrotic syndrome,562
2083,440795,Complication occurring during labor and delivery,561
2084,4220172,Congenital hamartoma,561
2085,440676,Neoplasm of uncertain behavior of brain and spinal cord,561
2086,4315806,Secondary malignant neoplasm of retroperitoneum,559
2087,75488,Primary malignant neoplasm of vertebral column,559
2088,133438,Chronic lymphoid leukemia in remission,558
2089,318450,Cardiac tamponade,558
2090,762213,Bursitis of left shoulder,557
2091,133956,Septicemia due to enterococcus,556
2092,73153,Malignant neoplasm of lateral wall of urinary bladder,556
2093,762207,Adhesive capsulitis of left shoulder,555
2094,375827,Acute non-suppurative otitis media - serous,555
2095,434449,Degeneration of thoracolumbar intervertebral disc,553
2096,40491439,Tumor of respiratory system,553
2097,4071874,Pain in scrotum,553
2098,4195892,Chronic cor pulmonale,553
2099,4033319,Lipoma of skin and subcutaneous tissue of trunk,553
2100,320299,Cardiac transplant disorder,553
2101,441259,Non-thrombocytopenic purpura,553
2102,4033848,Post-inflammatory hyperpigmentation,552
2103,4300557,Squamous cell carcinoma of skin of trunk,552
2104,46272492,Dissection of artery,552
2105,4070976,Mechanical complication of dialysis catheter,551
2106,201518,Primary malignant neoplasm of lower limb,551
2107,4164639,Blind left eye,550
2108,134718,Hirsutism,550
2109,135350,Acute osteomyelitis of ankle and/or foot,549
2110,4291304,Dermatosis of eyelid,549
2111,4302754,Neurocutaneous syndrome,549
2112,80509,Bone cyst,547
2113,43531561,Myasthenia gravis without exacerbation,547
2114,40490929,Primary malignant neoplasm of intrahepatic bile duct,546
2115,4013526,ESR raised,546
2116,443460,Pathological fracture of femur,546
2117,378165,Nystagmus,545
2118,316428,Hypertrophic obstructive cardiomyopathy,545
2119,4335883,Basal cell carcinoma of eyelid,544
2120,75065,Acquired deformity of spine,544
2121,199767,Neoplasm of uncertain behavior of liver and/or biliary passages,543
2122,4336254,Dystrophia unguium,543
2123,4331953,Chronic pain due to injury,543
2124,433997,Lymphangioma,543
2125,438452,Phlebitis of superficial veins of lower extremity,542
2126,81670,Congenital anomaly of spine,542
2127,444189,Injury of elbow,541
2128,435041,Schmorl's nodes of lumbar region,540
2129,197807,Primary malignant neoplasm of soft tissues of abdomen,540
2130,23798,Acute laryngopharyngitis,540
2131,4160859,Methicillin resistant staphylococcus aureus carrier,539
2132,435082,Closed fracture of nasal bones,539
2133,195873,Leukorrhea,537
2134,46271402,Malignant carcinoid tumor of small intestine,536
2135,441788,Human papilloma virus infection,535
2136,4238808,Empyema of pleura,535
2137,78093,Primary malignant neoplasm of pleura,535
2138,77162,Injury of ankle,534
2139,372604,Movement disorder,534
2140,43022062,Cardiovascular system complication of procedure,533
